Sr. No,Image,Object_Class,Confidence
1,67915.png,person,tensor(0.73151)
1,67915.png,person,tensor(0.71790)
2,52914.png,person,tensor(0.91729)
2,52914.png,person,tensor(0.89093)
2,52914.png,person,tensor(0.84946)
2,52914.png,person,tensor(0.83855)
2,52914.png,person,tensor(0.83446)
2,52914.png,person,tensor(0.80700)
2,52914.png,person,tensor(0.80420)
2,52914.png,tie,tensor(0.80066)
2,52914.png,person,tensor(0.79071)
2,52914.png,tie,tensor(0.78139)
2,52914.png,person,tensor(0.74566)
4,29387.png,person,tensor(0.58034)
5,48932.png,tie,tensor(0.78503)
5,48932.png,person,tensor(0.50557)
6,94850.png,person,tensor(0.77939)
6,94850.png,sheep,tensor(0.74173)
6,94850.png,sheep,tensor(0.73590)
6,94850.png,sheep,tensor(0.56714)
6,94850.png,sheep,tensor(0.54920)
6,94850.png,person,tensor(0.54289)
6,94850.png,person,tensor(0.52630)
7,53640.png,person,tensor(0.83193)
9,04853.png,person,tensor(0.86824)
9,04853.png,person,tensor(0.79725)
9,04853.png,person,tensor(0.75377)
9,04853.png,backpack,tensor(0.72765)
11,51032.png,person,tensor(0.77738)
11,51032.png,person,tensor(0.74099)
11,51032.png,person,tensor(0.72914)
11,51032.png,person,tensor(0.72807)
11,51032.png,person,tensor(0.71955)
11,51032.png,person,tensor(0.69202)
11,51032.png,person,tensor(0.57900)
11,51032.png,person,tensor(0.57571)
11,51032.png,person,tensor(0.57537)
11,51032.png,person,tensor(0.57211)
11,51032.png,frisbee,tensor(0.51358)
12,47320.png,person,tensor(0.73807)
13,82743.png,kite,tensor(0.71418)
15,90158.png,banana,tensor(0.68444)
15,90158.png,orange,tensor(0.62154)
15,90158.png,orange,tensor(0.51177)
17,14569.png,person,tensor(0.88779)
18,13875.png,person,tensor(0.68162)
18,13875.png,person,tensor(0.59307)
18,13875.png,person,tensor(0.57126)
18,13875.png,person,tensor(0.54184)
18,13875.png,person,tensor(0.52570)
18,13875.png,person,tensor(0.51526)
19,94615.png,person,tensor(0.70516)
19,94615.png,person,tensor(0.70108)
20,90541.png,person,tensor(0.64850)
24,94251.png,clock,tensor(0.86642)
24,94251.png,clock,tensor(0.80931)
27,37265.png,dog,tensor(0.54692)
30,61950.png,person,tensor(0.89297)
30,61950.png,chair,tensor(0.72444)
30,61950.png,person,tensor(0.62058)
31,42615.png,person,tensor(0.59136)
32,38109.png,person,tensor(0.77912)
32,38109.png,person,tensor(0.74231)
32,38109.png,person,tensor(0.70670)
32,38109.png,person,tensor(0.67630)
32,38109.png,person,tensor(0.57400)
34,57264.png,person,tensor(0.86027)
34,57264.png,person,tensor(0.84895)
35,78231.png,person,tensor(0.66338)
36,53740.png,boat,tensor(0.55954)
38,02867.png,person,tensor(0.87539)
39,39821.png,person,tensor(0.88602)
39,39821.png,person,tensor(0.82882)
40,78960.png,person,tensor(0.50969)
42,90362.png,person,tensor(0.71977)
42,90362.png,person,tensor(0.68875)
43,23765.png,person,tensor(0.86701)
43,23765.png,person,tensor(0.66383)
43,23765.png,tie,tensor(0.60888)
45,02367.png,person,tensor(0.84209)
45,02367.png,traffic light,tensor(0.77014)
45,02367.png,person,tensor(0.76005)
45,02367.png,person,tensor(0.75340)
45,02367.png,person,tensor(0.62779)
45,02367.png,person,tensor(0.60719)
45,02367.png,truck,tensor(0.59786)
45,02367.png,person,tensor(0.59278)
45,02367.png,traffic light,tensor(0.57407)
45,02367.png,cow,tensor(0.53251)
45,02367.png,person,tensor(0.51431)
45,02367.png,traffic light,tensor(0.50924)
46,05142.png,dog,tensor(0.54081)
48,71856.png,car,tensor(0.80275)
48,71856.png,car,tensor(0.78606)
48,71856.png,dog,tensor(0.75441)
48,71856.png,dog,tensor(0.75003)
48,71856.png,person,tensor(0.68646)
48,71856.png,dog,tensor(0.65178)
48,71856.png,dog,tensor(0.64585)
48,71856.png,person,tensor(0.63990)
48,71856.png,dog,tensor(0.59705)
48,71856.png,dog,tensor(0.56489)
48,71856.png,dog,tensor(0.55966)
48,71856.png,person,tensor(0.55048)
48,71856.png,dog,tensor(0.53177)
50,98547.png,person,tensor(0.58942)
50,98547.png,person,tensor(0.53143)
50,98547.png,person,tensor(0.52003)
50,98547.png,person,tensor(0.51984)
51,29617.png,microwave,tensor(0.78328)
51,29617.png,oven,tensor(0.67394)
53,53908.png,person,tensor(0.68380)
53,53908.png,person,tensor(0.60691)
54,92658.png,person,tensor(0.87608)
54,92658.png,person,tensor(0.85738)
54,92658.png,person,tensor(0.60383)
55,17230.png,person,tensor(0.80266)
55,17230.png,person,tensor(0.62134)
55,17230.png,person,tensor(0.58545)
55,17230.png,chair,tensor(0.55548)
55,17230.png,person,tensor(0.51502)
56,60147.png,person,tensor(0.55849)
57,89675.png,person,tensor(0.79088)
57,89675.png,person,tensor(0.78953)
57,89675.png,person,tensor(0.67511)
57,89675.png,person,tensor(0.63379)
57,89675.png,person,tensor(0.60343)
57,89675.png,person,tensor(0.59906)
57,89675.png,person,tensor(0.56571)
57,89675.png,person,tensor(0.54780)
59,63814.png,person,tensor(0.50129)
60,78125.png,cell phone,tensor(0.68224)
61,10576.png,person,tensor(0.93272)
61,10576.png,tie,tensor(0.83205)
61,10576.png,person,tensor(0.57694)
63,84516.png,person,tensor(0.73615)
64,20386.png,person,tensor(0.94921)
64,20386.png,person,tensor(0.93073)
64,20386.png,person,tensor(0.90782)
64,20386.png,person,tensor(0.88956)
66,39281.png,person,tensor(0.80398)
67,09382.png,cake,tensor(0.89329)
67,09382.png,person,tensor(0.52710)
68,20674.png,person,tensor(0.60049)
69,54092.png,person,tensor(0.72515)
71,69127.png,cat,tensor(0.90973)
71,69127.png,cat,tensor(0.68611)
72,31624.png,person,tensor(0.53428)
73,94738.png,person,tensor(0.60568)
73,94738.png,person,tensor(0.53437)
75,59238.png,person,tensor(0.65087)
75,59238.png,mouse,tensor(0.58098)
76,05819.png,person,tensor(0.58054)
77,31702.png,person,tensor(0.86815)
78,42653.png,chair,tensor(0.61969)
79,45610.png,person,tensor(0.86638)
79,45610.png,person,tensor(0.83357)
79,45610.png,person,tensor(0.78431)
79,45610.png,person,tensor(0.71407)
79,45610.png,person,tensor(0.67310)
79,45610.png,person,tensor(0.66548)
79,45610.png,person,tensor(0.57629)
81,02946.png,person,tensor(0.58391)
82,08234.png,person,tensor(0.72596)
82,08234.png,tie,tensor(0.64905)
82,08234.png,person,tensor(0.61084)
82,08234.png,person,tensor(0.60986)
82,08234.png,tie,tensor(0.60673)
82,08234.png,person,tensor(0.55497)
82,08234.png,person,tensor(0.52869)
